edad;ingreso;antiguedad;num_productos;calificacion_crediticia;monto_prestamos;num_transacciones;banca_online;tiene_tarjeta;saldo_anterior;saldo_anual
20;22437.90083;2;1;766;19848.4717;11;0;1;10675.27326;19845.40691
39;22442.5148;7;2;707;34679.63677;30;1;0;7890.402978;29342.61435
56;56681.96434;2;1;508;22443.85634;40;0;1;9552.593242;4908.10829
48;21421.55018;7;4;749;56750.06644;34;0;0;21285.55238;38973.09308
33;21955.80644;2;4;817;29282.88701;32;0;0;9436.45395;24841.3587
53;30679.0845;1;5;795;37354.09023;20;1;0;9192.327036;36595.2539
18;35274.01872;12;4;629;7071.943502;15;1;1;10501.81917;21853.67424
22;39563.39349;1;3;843;26902.2221;7;1;0;14157.39069;16965.9349
36;41095.36205;8;2;555;29509.19292;29;0;0;7923.986719;18716.83682
38;32161.81195;3;4;674;11625.29494;6;1;1;8344.474098;34307.2617
21;42377.80647;3;3;589;18644.37778;21;0;1;20196.2312;39904.9367
64;41418.20711;13;1;637;39319.77832;42;1;0;7793.58075;21750.44719
48;61263.35239;8;4;691;46008.23811;41;1;0;24035.82955;34937.61531
34;56144.58894;11;5;588;20997.96319;10;0;0;6892.063923;36816.14086
53;96389.89761;2;1;747;14894.40699;28;0;0;2023.042253;10229.62707
55;69185.30577;12;4;660;22717.13052;17;0;1;8538.989673;40579.61167
64;41986.01842;3;5;733;26689.08921;49;0;1;2589.032571;40071.98282
50;60690.11983;8;2;836;34098.55986;0;1;1;2427.632135;43666.07411
63;50631.21597;7;3;827;18926.14054;46;0;0;19750.55856;43050.798
63;55997.69799;7;3;540;14072.93608;29;1;1;8781.64516;33944.33387
33;66405.23516;13;2;846;53937.52174;37;0;0;10513.07311;33115.27036
40;45229.91972;14;3;508;27178.87906;40;0;0;8000.911581;21127.02698
56;35175.81633;6;3;842;23247.84569;21;0;0;5326.524723;26265.67669
41;48050.83117;7;5;828;64291.10124;33;1;1;15156.24673;43114.92595
55;24533.20904;1;5;786;21484.64516;7;0;0;16011.00344;19379.31542
27;69756.21328;0;3;780;31723.89759;18;1;1;9984.982148;41913.28098
35;38771.05276;3;3;659;20086.05032;30;1;0;5501.851976;38835.38085
26;48717.57501;0;1;534;21858.19394;28;0;1;1007.244251;7104.889108
59;35204.63101;7;3;695;61382.24632;3;0;0;9315.774231;26656.6074
22;42756.02134;4;3;710;37551.99491;21;1;1;25266.04231;39157.78353
22;64338.31331;10;3;532;27061.35233;8;0;0;15272.5553;32052.58719
26;26465.93444;7;1;762;33642.98843;4;0;1;9698.861938;41607.87549
27;43245.94715;7;3;733;35238.52435;10;0;0;8726.668529;38244.96557
30;32132.76082;5;1;534;23646.137;6;1;1;19435.69396;23117.49668
64;34655.9408;1;5;514;13812.3902;33;0;1;8708.372918;19713.62149
47;75211.40792;3;4;536;19361.50307;39;0;1;10537.66938;35762.81605
39;80547.9896;3;4;702;76614.45556;11;0;0;13775.73186;41695.8695
37;37451.20629;6;4;556;31169.7913;25;0;1;8664.638475;33528.50747
64;79933.39439;11;2;813;46368.14734;13;0;1;4742.649912;17448.59916
19;49813.91343;7;4;596;31580.76008;3;1;1;5406.370844;19905.90294
58;49916.57496;8;1;558;24190.74186;46;0;0;1698.618929;6438.487012
42;42659.93799;9;2;589;12523.29516;34;1;0;8909.445869;18934.8938
39;99053.92545;3;5;567;10962.78923;9;1;1;12691.0102;23717.51396
42;45070.87126;9;1;708;14436.82495;8;1;1;13368.17948;29044.07453
22;51658.59095;14;3;579;27847.57109;12;1;0;24044.01121;56453.46896
30;69266.39577;9;5;786;44584.49641;38;0;1;4148.434947;24718.10424
40;63041.27196;4;2;660;12852.1493;27;0;1;11496.44018;33879.69056
57;109664.1544;8;1;592;75841.25997;13;0;1;9839.420023;16367.17521
37;51340.65673;8;3;702;17174.97314;29;1;1;9020.950336;27748.83853
23;94022.3963;10;5;617;40671.69345;3;1;1;1083.827911;54687.10739
35;99639.03734;4;5;700;14698.30064;4;1;1;6855.209751;25065.70088
41;53229.56572;11;4;522;64093.28236;22;1;1;5275.338492;23716.98198
58;81022.14322;8;4;824;25964.90357;1;0;1;9409.637406;45988.87993
33;15719.5413;12;1;606;9942.349438;45;0;0;2560.121925;21217.6887
24;43734.03869;2;1;767;14511.91104;21;1;1;8940.342324;34116.62419
41;24792.37929;10;4;515;28436.07222;19;1;1;5385.839481;34735.94516
35;46333.2777;2;3;772;30532.6097;19;0;0;3806.649288;48051.68679
56;73235.9075;10;3;502;41846.70773;42;0;1;38478.40622;44967.94942
52;44632.25397;12;1;530;13517.37566;4;0;1;5469.396067;7521.503236
35;25019.64187;4;1;597;23226.77202;45;0;0;6183.414205;26399.92231
44;88136.34652;6;5;587;21522.88169;13;0;0;11306.39808;30588.80078
44;74401.12192;0;1;653;22579.76503;44;0;0;9240.035479;28668.62994
56;30543.25426;12;3;549;15700.02601;44;0;1;7038.840654;34506.29003
40;92670.30831;7;4;519;30612.11603;49;0;1;8815.318171;31665.75859
55;87895.05697;11;5;673;33131.06946;19;0;0;8751.198421;40695.01961
63;72161.46868;0;5;586;15832.48174;0;0;0;3446.375601;28625.87432
22;38194.8928;13;3;646;37812.8259;29;1;1;3559.420855;23605.05757
42;34680.44281;1;5;692;17566.34804;28;1;1;17043.38277;46453.25635
39;17060.15216;1;5;802;34009.69063;1;1;1;2145.734389;7770.5691
64;41787.52258;7;1;638;37436.67309;27;0;1;922.1104026;17018.23788
38;53591.04468;11;1;734;21165.08884;33;0;1;19440.31318;48148.54764
49;44484.08771;13;3;709;9736.668753;43;1;0;3188.464381;25261.11829
24;36620.44391;8;1;607;17451.20081;45;1;1;5020.426405;28457.33259
27;55870.3601;7;1;783;12443.1406;7;1;1;1255.263844;28819.55983
62;73146.30159;7;5;571;41495.8683;42;1;1;15141.00874;50708.07565
28;39857.76476;10;2;823;26002.61515;17;1;0;10487.63281;33653.20543
62;26297.9199;10;2;647;17887.11915;25;1;0;3504.699081;28951.93948
62;95177.9472;14;4;500;45264.52064;20;1;0;11227.59546;49601.19611
46;63109.14251;13;2;648;33881.01359;24;1;0;8125.062263;29204.10249
29;25206.7224;3;2;830;62197.853;38;0;0;15036.51667;39784.95859
37;41583.30432;8;5;689;28099.75475;21;1;0;10366.54221;24537.0205
60;19894.82586;12;4;702;17333.71699;0;0;0;11597.11025;44583.99172
23;43912.11801;12;2;670;12305.84823;30;1;1;17123.69649;31870.60078
33;21155.79323;3;2;628;115504.0765;23;0;1;4933.948832;30096.22681
26;54322.48764;11;3;649;29541.93386;2;1;0;11201.03067;39082.64861
34;41894.34364;8;3;734;15842.213;19;1;1;13184.00626;22166.32332
51;79846.79649;4;4;659;53522.20858;4;0;0;10940.46509;36964.2552
20;42796.23634;13;5;697;11856.38601;27;1;1;4391.629347;23874.01778
59;41782.20177;1;5;737;25569.35207;29;1;0;13295.74372;41584.67978
52;67475.29702;10;3;764;10307.07678;33;1;0;6910.446427;47786.7901
36;40385.67549;1;1;584;34927.88101;47;1;1;15042.2158;25529.72416
25;16947.6046;10;3;531;36426.58599;33;0;1;10971.64734;27650.96396
48;56309.24271;9;2;763;31536.06043;38;1;1;12937.78744;26288.08783
64;30281.40361;10;3;809;9506.881908;8;0;0;9815.029534;32063.86282
55;51829.99769;11;3;807;34525.50781;9;1;1;2394.360197;44874.72928
20;50056.04147;13;1;611;19225.87089;17;1;0;9902.88732;49829.81663
20;83271.77754;14;2;540;18630.14792;16;0;0;15125.88586;48411.60752
34;38387.83748;14;4;766;78479.58199;41;1;1;8016.537698;31201.91346
26;34322.05743;11;5;510;36273.60382;14;1;1;1745.504933;24651.85847
27;39435.98185;12;1;735;35800.90159;21;1;1;2582.143642;22702.85539
35;58579.77789;4;1;754;17280.17783;43;1;1;2858.205315;20680.41552
58;61760.48467;11;4;601;10313.22343;2;1;0;4118.558957;30623.33953
61;41329.20108;6;2;566;16149.30856;14;1;1;14627.39367;44837.06966
58;15388.61438;3;1;673;80304.66344;39;0;1;21189.55959;30389.59408
59;45747.37187;12;2;549;23243.7817;29;0;1;6757.181905;27186.02946
36;32961.16563;5;4;815;43458.52713;23;1;0;7722.80873;24125.1836
60;47392.49517;4;5;790;21349.61852;33;0;1;18933.36968;55300.50184
33;28503.92081;13;5;715;28268.78856;5;0;1;15592.63562;41514.28169
55;75188.25002;0;2;797;21882.70087;40;0;0;2291.33476;33406.85568
45;31608.74808;1;5;768;16756.22666;14;1;1;20604.30677;23651.98187
24;39588.71105;13;3;826;31566.47255;30;1;0;2115.403312;5457.03421
50;33794.70612;14;1;575;26099.7535;48;0;0;25734.36006;29506.05507
64;42180.70884;14;2;696;14325.6769;10;1;0;5564.29823;36912.90941
52;30419.68011;10;5;674;47158.58052;8;0;1;3532.922093;16770.87961
52;60302.00167;12;1;809;2446.10649;6;0;1;2523.474568;33211.52398
21;34050.30093;11;2;668;38356.63483;8;0;0;7904.349514;28040.54762
24;76670.12267;14;1;539;59637.56758;48;1;1;1229.301832;42602.93722
20;15202.96328;6;5;616;16278.54134;39;1;1;14206.96167;36786.00643
24;72380.31804;0;3;745;31708.02509;42;0;1;11296.16236;13349.34599
23;33660.09239;3;2;548;14929.97004;39;0;0;18816.2059;47434.26967
43;52525.43974;4;4;579;22877.07486;25;1;0;13232.25854;38532.21718
28;10480.74779;1;1;618;33471.576;20;0;1;5763.980582;21242.46109
54;24853.30243;8;2;730;23042.45872;41;1;0;1064.73913;20179.11627
39;55496.77295;13;4;650;8580.579914;18;0;1;12908.76451;21679.73732
38;43060.30078;5;5;650;19035.4058;37;0;1;7232.820907;23302.66209
38;47725.62882;4;4;745;29804.91472;40;1;0;9535.27596;18367.16699
56;79912.06643;0;1;625;8427.377436;0;0;1;2760.308457;15141.03174
45;43827.43604;6;3;535;9045.976374;20;0;1;13507.63995;36482.48295
49;34717.58212;9;5;578;12602.3224;7;1;0;5555.687622;36285.42826
33;40338.52363;11;1;600;22766.30033;4;0;1;1041.960565;34211.64856
42;55005.56553;12;5;697;57868.16529;30;1;1;6300.92017;21974.35024
42;32744.43299;12;1;767;10026.9647;45;0;1;15624.07397;26772.81228
36;43500.71271;12;2;751;39629.26367;24;1;1;4848.412162;18047.16596
34;47697.72478;8;4;842;47007.35772;20;1;1;24452.57251;42495.03345
59;42094.60436;13;4;675;20447.18253;44;0;0;11474.33923;41887.19661
50;38186.03104;5;5;766;37342.63945;46;0;1;2911.173099;29386.93367
20;102836.3479;9;1;569;36726.13241;35;1;1;5218.649593;21348.08936
23;123647.635;1;1;753;37626.73935;44;1;1;6277.808356;9078.488965
61;46209.20616;2;4;700;21242.38157;48;1;1;6913.597501;24421.83797
63;63018.04328;4;1;639;15589.431;4;1;1;11312.80823;38122.14634
63;28105.6065;9;5;706;23570.78082;1;1;1;21059.60211;43324.44144
54;29846.0702;4;2;643;27995.17513;8;1;0;31718.71941;40113.12856
60;62907.08843;8;1;509;42385.00602;29;0;1;5860.212315;28681.83941
25;47855.63833;14;2;847;23649.47176;13;1;0;19841.67752;42619.06902
54;27265.52236;14;4;547;55104.25973;10;1;0;16966.2788;26820.07389
36;65414.29657;14;5;802;38441.79588;34;1;0;11770.52637;25380.13374
32;85351.2846;13;1;779;17877.53191;39;0;0;7353.061741;28627.55658
43;38105.75135;5;4;725;19936.8697;21;0;0;5065.302266;36406.94069
23;45153.67679;1;1;831;22169.40087;38;0;0;3989.374603;-8078.505605
61;83439.76548;11;2;604;32237.42095;26;0;1;2995.562159;24613.05576
23;31794.39385;4;3;788;14322.72218;7;0;0;9774.017752;18443.03328
20;68309.30068;0;4;784;12113.06141;0;0;1;7314.015641;23586.466
25;49701.87558;10;4;513;28974.44422;21;1;0;35297.73373;30533.3069
24;113129.3109;7;4;619;42707.53255;38;1;0;28020.47088;71480.52383
52;63156.29424;0;5;655;12735.39216;11;1;1;4770.690697;40872.17892
51;35981.88806;0;1;758;16252.329;24;0;0;380.4409151;9626.147441
27;43255.88696;8;4;742;30216.95291;35;1;1;9662.186112;37725.39981
25;37468.58744;6;3;684;69754.46277;13;0;1;3180.288618;31204.63708
18;34418.69668;9;1;645;23706.27902;34;0;1;4416.153624;10915.94503
34;16189.03852;13;2;837;40667.98348;46;1;1;7309.357459;33003.73882
60;40662.14093;0;2;737;9260.925699;10;1;1;7060.437199;31327.88824
41;28735.87631;2;3;788;23788.53566;2;0;0;883.3343468;9550.5456
45;74046.71108;4;1;705;46300.30304;47;1;0;2814.653958;28904.21103
23;59398.68051;7;1;565;24714.46835;11;0;0;4668.643032;20418.48372
21;35950.93972;9;4;538;21236.00877;34;0;1;8950.532364;27829.49005
26;22922.34358;5;1;589;18404.18578;21;0;1;3855.972033;28935.4024
48;51988.13643;11;3;774;44737.82665;11;1;1;5465.508778;22404.72627
60;66942.81619;13;4;747;21540.71749;43;1;1;17606.30357;42859.27788
37;32493.55378;13;5;585;36333.45401;15;1;1;8945.788387;40439.58836
29;51339.99387;10;3;600;53625.65036;18;0;1;21153.86191;27681.64562
49;62513.03485;0;4;686;28263.91472;32;0;1;27368.37;57081.53168
49;65746.60048;13;1;818;40060.65046;41;0;1;11530.66187;41780.66583
47;73476.86891;6;1;613;38443.08745;17;0;1;7133.432371;27780.98732
60;33506.99846;10;2;785;17989.81905;10;0;0;21155.30906;34195.44632
57;29059.28795;14;5;752;39524.98833;42;0;0;14571.18106;40041.22932
50;75877.33504;8;2;769;39696.6513;15;0;1;25137.25552;52174.91201
20;44901.51553;5;1;717;41036.45742;39;1;0;4370.660535;24334.82666
62;41939.29178;9;5;559;24902.84011;14;0;0;12224.12975;37875.43979
26;41889.0308;7;1;754;16249.33548;8;1;1;4774.576668;27013.75408
55;53645.79696;2;2;503;13526.49241;36;1;0;5184.88248;32118.59262
41;38358.60254;14;1;654;64595.0274;44;0;0;2207.178821;31945.50881
30;47501.0365;8;3;594;68004.01434;30;1;1;4366.576578;30893.39886
30;82535.17982;0;4;707;6781.127885;47;0;0;16916.03421;32193.14509
47;82658.05978;13;3;569;19883.26374;38;1;0;6511.173417;37699.58515
29;40704.88379;4;1;572;23560.05941;19;1;0;2919.531877;11399.67619
58;46569.71854;1;4;624;23136.46234;12;0;0;12482.31955;25495.92601
47;50131.71711;2;4;748;23056.423;11;0;0;23216.6321;50608.22845
25;60354.47372;0;5;509;47634.54752;14;1;0;21719.98647;34366.38289
55;20210.24998;10;2;827;57646.37371;36;1;0;3765.685681;20545.77636
49;43619.28481;4;3;507;41423.58686;21;0;1;4373.142039;28088.44798
56;113743.023;10;4;591;20445.21126;21;1;0;3961.982506;22768.41951
33;18396.77896;4;1;539;24822.68191;10;1;0;21411.94927;38688.96009
48;79832.15696;9;5;578;39364.42823;12;0;0;13936.44627;40572.93689
50;34156.07735;0;3;737;32414.1211;24;1;0;6022.667073;39599.63539
31;15493.14788;14;1;833;23731.92986;25;0;0;28140.56102;54123.88657
38;52428.56226;6;1;581;26668.48914;25;0;1;7906.355804;49777.37794
43;94976.30809;8;5;763;27086.00636;26;1;1;41664.06068;53464.64554
29;101127.0961;3;1;555;21959.85759;0;0;1;15451.7247;31530.16969
62;57147.36645;3;3;636;4628.867617;41;1;0;3966.081603;21532.89063
50;60961.60123;12;1;626;65758.80515;39;0;1;5189.073464;28682.18685
18;69374.85458;14;5;651;8100.280555;8;0;1;1622.361432;32335.29975
35;68221.80321;2;1;774;37456.95616;12;0;1;8630.480069;35853.68151
41;59671.13197;13;1;689;23594.39776;24;0;1;1807.13354;25822.30949
60;37043.51659;4;3;669;14261.84629;12;0;0;5817.657682;43749.22068
58;35720.73759;3;4;782;55305.87922;39;0;1;15952.90301;34769.40197
25;36559.47577;12;1;566;6030.554097;48;1;0;3031.414162;20490.64964
20;81010.97048;3;3;585;17115.31313;31;1;1;2911.613735;16761.43331
32;66893.52217;14;5;676;12176.62485;7;0;1;17175.65461;53765.27226
21;71239.02899;4;3;555;50511.3941;17;0;1;13294.66348;33587.56645
28;34074.95112;2;1;746;32675.17315;11;1;1;13896.37171;31857.41325
36;66868.71761;12;1;756;43082.55004;43;0;1;4357.696127;48870.417
24;66030.3611;6;4;807;37724.09125;49;0;1;5593.512554;29227.53533
58;37760.26572;13;2;634;37807.95711;34;1;1;4150.569357;22400.88834
62;62885.97397;1;2;740;18784.51356;17;0;1;11490.30387;25420.77141
53;104272.9335;0;3;617;50861.41505;34;0;1;2655.503414;33201.30584
41;89870.84298;9;3;770;30688.80394;25;1;1;3821.065476;35374.06769
34;80509.11173;2;1;779;78704.47322;39;1;1;12547.31663;53652.74408
39;17174.72808;9;5;686;16584.45377;32;0;1;27258.52795;31957.04337
19;52595.64078;4;4;522;33647.94504;9;0;1;3347.974137;25894.14739
23;74621.5359;5;2;580;33641.2402;7;1;1;5154.171663;7640.410662
51;48732.82977;1;5;800;20126.26042;23;0;0;8012.413544;16544.90849
49;21400.51255;0;2;838;14815.62824;15;1;1;34799.38094;39224.21951
27;56838.34954;1;1;806;21106.76875;3;1;0;8377.785163;31856.75247
51;86179.88952;7;5;631;15370.68692;8;0;1;2707.409957;26621.20758
63;34159.45073;7;5;685;17440.92626;15;0;1;2803.243511;30325.21355
51;46329.1371;9;4;660;57748.07511;14;0;1;9969.059694;38241.07505
28;82482.18775;4;3;728;59912.82695;20;1;0;16252.39115;48022.20838
60;42730.82876;11;2;689;14122.01649;39;0;0;9331.342005;43310.54917
60;21565.46758;10;2;778;47382.59851;16;1;0;5237.660596;29573.00941
34;57542.158;14;3;558;6219.450933;27;1;0;5342.202362;40246.79161
50;48353.55127;6;3;721;10349.74972;13;0;1;6378.779938;24977.30461
39;41911.77547;5;3;822;44384.22872;35;0;0;7540.720025;46618.28463
63;137053.0949;6;4;734;16987.91439;39;0;1;622.849816;13682.09842
51;59121.30461;0;3;573;16056.33215;27;0;1;20848.11313;50227.24516
23;82543.33327;11;2;657;34242.07215;0;1;0;2943.491797;40965.00801
29;33167.4275;9;5;820;30172.30984;4;0;0;3397.914608;38385.92213
64;65359.10518;14;4;534;57044.69256;32;1;1;3965.954749;26072.16433
49;45749.32845;8;3;530;30513.13814;22;0;0;13513.85534;24981.57247
51;40931.5969;11;2;730;12610.05089;1;1;0;663.2837322;27593.16192
20;91751.11002;7;5;687;21128.04842;24;1;0;1991.953782;32298.72071
22;32615.62115;5;5;574;60272.08886;38;0;1;3541.773206;20777.93986
60;52114.95685;10;3;758;34062.61032;10;0;1;11647.84164;42642.20944
34;25006.77276;11;3;701;31779.30405;3;1;0;9681.952077;32775.43866
37;85761.69551;6;1;536;79637.7047;41;1;0;11809.16728;32159.60462
20;88253.48867;14;1;620;14972.64984;9;1;0;4426.384883;21062.53261
29;53170.668;12;5;721;19869.6543;39;1;0;2389.67132;41463.11003
62;40473.1457;1;1;843;17478.06177;20;1;1;1584.366563;19044.46755
40;45337.04553;12;5;667;8941.122613;43;0;0;10408.42246;29992.13192
46;74880.32813;4;2;762;15494.41141;8;0;1;4367.610835;27371.12754
30;40371.48117;3;4;761;36241.3587;37;0;1;3009.236513;19191.88585
40;69572.97209;8;4;782;48557.73138;18;0;1;3519.217476;21350.1888
36;18195.99844;2;3;744;34110.17114;18;1;0;12902.22929;12925.22896
40;32503.33226;12;3;536;46679.04382;48;1;1;5110.839387;27972.07411
40;60122.45053;5;4;845;24650.02483;11;1;1;16804.75799;38415.06796
31;52326.06757;10;5;770;43924.0247;10;0;1;5178.927494;30495.45778
50;57115.22849;3;3;750;23922.39423;19;1;1;8261.265992;35272.8089
28;29822.71915;7;1;828;25831.30806;19;1;0;13215.09714;32258.21193
34;91403.08868;0;2;508;5923.260647;37;1;1;6653.902456;44655.55796
44;105330.4284;6;5;833;8910.128973;47;1;1;7597.199529;36810.86449
41;21314.55609;14;5;712;29534.71672;42;0;0;12330.51012;40169.97494
37;75881.02945;4;3;795;27465.00218;3;0;0;19921.03538;34244.01909
64;74576.87551;3;3;543;58911.25531;29;0;0;9694.309569;28910.14233
37;44818.71816;10;4;695;14004.20325;3;1;1;21087.51091;36701.00901
60;77988.43752;0;1;722;27163.98265;41;1;0;5160.939455;41087.04304
37;45366.53283;11;5;550;29256.21753;18;1;0;3235.433285;29591.92532
50;31276.39562;14;1;602;12972.21678;18;1;1;8424.09987;42108.66183
63;54063.0207;6;1;837;33468.91694;12;1;0;4337.311426;15675.84578
45;72265.28783;2;5;656;36212.43588;10;1;0;7209.505898;15746.93042
34;45123.82599;1;4;602;41181.35768;40;1;1;3058.220297;13395.05596
22;78697.88983;4;4;733;26020.54326;0;1;1;15509.12263;19572.97991
26;47583.45162;2;5;638;15630.89972;12;0;1;30004.94386;42707.75259
55;35087.18327;0;3;671;34338.07341;23;0;0;1758.855585;5649.303881
22;55086.07793;1;2;530;37842.78365;25;1;0;10371.34555;29305.07797
36;34230.05963;8;4;719;52682.93081;26;0;1;28392.41814;42438.34868
49;44181.14183;4;3;736;12674.28519;14;1;0;7004.857574;32010.16344
25;65630.42712;1;5;572;15044.69598;19;0;1;4547.338493;28232.87172
38;41267.22859;10;2;599;6238.543562;11;1;1;1523.889604;44397.74503
37;58319.91688;7;5;792;40381.34149;8;1;0;2122.529224;31343.05799
46;34297.79552;2;5;537;20743.36178;37;0;0;5485.77004;26533.985
49;60636.50725;0;4;661;41208.69505;31;1;0;8069.119859;33851.64776
46;24140.17316;14;4;691;52005.34594;35;1;0;10645.50789;24675.83485
30;49383.77977;9;2;765;34216.37155;33;0;0;8746.773991;33068.33117
27;66688.75011;5;4;693;17015.39377;9;1;1;2163.427793;18491.80462
43;46272.9336;7;2;824;19692.00544;10;0;0;10310.23583;29781.60933
25;14208.59284;7;1;621;8231.383253;36;0;1;4058.728309;35135.72829
32;55788.95816;5;2;825;17124.89349;6;0;1;3281.637688;13472.88261
62;114666.9343;9;5;842;49767.88949;2;0;0;5088.674505;27898.2403
57;41657.18031;2;5;593;24260.30536;19;1;1;15757.47069;57855.69777
28;46969.26287;0;5;741;36868.36058;17;0;1;15500.43096;22148.53627
49;106364.678;8;5;760;44640.23768;13;1;1;1943.139382;30102.20379
51;26461.88051;14;2;661;32659.70263;45;0;1;9780.270398;25919.04369
18;37142.8538;7;5;629;28492.16159;16;0;1;6422.501778;36621.45163
50;85798.16781;7;1;824;54847.71912;47;0;0;6268.29252;56538.64932
40;41297.84947;5;1;633;20155.40954;2;1;0;16533.16317;33975.84843
28;44094.53541;0;4;707;16044.67867;18;1;1;8823.248624;24575.49703
61;24971.07482;1;5;763;43766.75989;28;1;0;20439.0668;45734.42135
41;32602.37605;7;4;817;42200.28049;28;0;1;26294.4701;23722.3592
43;25846.38736;10;4;798;28848.17618;45;0;1;3172.346285;13593.10821
52;51841.99278;12;1;641;36842.38707;32;0;1;11892.12168;26091.51621
48;37460.7917;2;3;702;14887.07041;39;1;1;8333.373442;19199.42128
28;52193.00632;3;1;800;16511.55912;7;1;1;3179.716678;25374.30556
38;72657.14193;1;5;802;86222.56302;7;0;0;5540.442797;30567.62226
57;70868.25543;7;3;675;34758.80142;46;0;0;8761.224108;33018.69944
33;40865.31019;8;4;798;25715.30943;18;0;1;26164.80162;31541.27175
36;35767.81187;8;5;715;36722.73643;1;0;0;25438.13185;59072.52576
55;29994.18143;7;4;670;16818.02671;47;1;1;16541.49906;36813.08048
35;28024.92798;4;1;542;21105.44571;18;0;1;2468.445991;1126.002952
54;63621.03059;11;4;588;21343.53592;33;1;1;4631.917565;43249.80494
64;51459.36501;7;5;630;21653.01795;5;0;1;21638.24465;38898.79552
52;18946.50295;11;1;717;25249.87948;7;1;0;9273.03153;21029.57558
34;97363.53112;4;4;708;30466.32552;15;1;1;7338.202116;30208.94594
42;23080.50861;8;5;592;2588.400179;29;0;1;460.8289838;25433.57684
25;61673.62917;11;2;597;85258.64191;17;1;1;8946.48201;17878.55808
61;55653.79495;14;5;809;61566.4759;3;1;1;6373.069605;44065.54922
35;31369.27688;12;4;556;8075.83957;28;1;0;8398.896197;29708.6802
43;50567.5839;1;3;636;40807.30504;1;1;1;10753.9368;30969.98362
55;29904.44597;11;1;562;13872.59163;1;1;0;7552.555647;21056.34793
53;41748.94316;13;2;701;19192.98409;45;0;0;2677.854755;14211.48062
54;70500.63952;11;1;611;29965.70436;33;1;1;17297.31766;29086.35164
18;48961.31944;5;4;577;44830.16567;36;1;0;11669.06818;18193.38232
48;47313.08094;14;5;816;43690.45452;43;0;1;3594.079589;26620.20648
60;49836.81515;11;2;525;5851.550148;5;0;0;29896.42391;60299.63537
37;45094.58102;3;5;619;58445.46827;9;1;1;14853.00307;41039.08136
24;22085.42639;14;1;703;7977.066881;38;0;0;1313.147703;8762.676388
33;43546.6072;7;3;632;49930.24228;45;0;0;5715.293024;33649.07415
42;19334.9898;11;3;610;28832.98411;25;1;0;11363.95776;32135.72917
58;79739.96628;13;3;603;73440.3282;36;0;0;11332.1189;24925.21535
57;39780.73739;3;2;767;24979.37232;49;1;1;3906.752912;28623.38656
18;33893.39536;2;2;650;10504.80813;21;0;1;9869.645818;13617.46826
44;56994.39856;10;2;785;62178.70591;0;1;1;10423.35698;33909.19925
27;53742.63879;11;1;792;51251.89704;5;0;1;5872.140497;26541.43017
36;49385.08642;11;1;518;35926.06729;42;0;1;4266.951874;39363.70506
49;24003.33023;11;3;631;29928.0854;0;1;0;16400.72596;30177.23665
63;62699.51204;14;1;788;48005.1519;3;0;1;16851.59803;38610.34614
50;38050.07084;6;4;618;54531.39148;24;1;0;19839.13944;34622.74961
38;5428.688433;7;1;726;11031.17124;39;0;0;3543.879829;17544.73282
47;41727.64953;4;4;572;21134.09244;21;0;0;4237.671102;23210.96677
52;48665.26532;12;5;511;9712.643257;21;0;1;13250.45038;40558.87923
51;60566.09552;13;2;579;28603.17811;22;1;1;3768.229602;29719.93836
62;22762.87844;0;4;756;3487.222756;35;0;1;8422.006758;30204.19478
