distancia;peso;volumen;modo_transporte;urgencia;fragilidad;num_paquetes_cliente;tipo_cliente;distancia_centro_distribucion;costo_combustible;costo_envio
103.6802368;9.40162159;0.201758147;Aéreo;Express;No Frágil;15;Individual;66.06303796;3.029764222;333.5265643
261.6247252;2.096437976;0.050232252;Terrestre;Normal;No Frágil;6;Empresarial;1.715613469;3.869675764;185.1147656
150.6006059;3.946163126;0.238112321;Marítimo;Express;Frágil;10;Empresarial;9.044612695;4.142995077;191.0884798
405.2179744;14.96027049;1.086353923;Aéreo;Normal;Frágil;11;Individual;100.1474084;3.765991288;534.107738
216.3024462;2.536156818;0.280331342;Marítimo;Express;Frágil;6;Individual;43.10526962;3.290182424;259.792903
152.1625605;3.210993692;0.178301155;Terrestre;Express;No Frágil;6;Individual;11.98519219;3.702548635;148.386961
128.0744226;3.336838817;0.184140205;Aéreo;Express;Frágil;18;Empresarial;52.773256;2.988343753;346.8601292
162.1051419;2.916957422;0.373937601;Aéreo;Express;No Frágil;15;Empresarial;33.75967448;3.780475794;264.9663274
94.38355633;6.129775479;0.316722184;Aéreo;Normal;Frágil;12;Empresarial;11.11856913;1.908231611;182.7266594
22.2201127;4.366705488;0.843477382;Marítimo;Normal;No Frágil;2;Individual;15.9162933;3.720535359;72.35221436
205.9222015;0.828411092;0.348170071;Aéreo;Normal;Frágil;15;Individual;31.87865733;2.293691974;290.2162057
253.9658928;4.219640688;0.040842836;Terrestre;Normal;Frágil;14;Individual;74.89984765;3.326332983;393.1285798
168.0964053;7.131723659;0.142045868;Terrestre;Normal;Frágil;10;Individual;25.85741074;3.280889243;223.5348705
86.0713851;20.24717955;3.100548283;Marítimo;Normal;No Frágil;1;Empresarial;39.37125064;2.697340799;173.1763251
208.6736428;1.589641495;0.128073036;Terrestre;Express;No Frágil;19;Individual;45.70214059;2.671975327;340.0293213
329.4423381;3.205450106;0.284903067;Terrestre;Normal;No Frágil;4;Individual;25.78619806;4.1303899;258.5277836
236.8318476;6.285021219;0.047549249;Marítimo;Normal;No Frágil;4;Individual;54.2733708;3.33210964;284.1479426
178.8898382;2.089524948;0.87052967;Marítimo;Normal;No Frágil;8;Empresarial;77.23938797;2.847972682;338.398496
196.133335;5.816382633;0.633997163;Marítimo;Normal;No Frágil;15;Individual;67.15440549;2.928019811;355.3246749
444.7451809;10.80914265;0.035940151;Aéreo;Normal;No Frágil;9;Individual;57.62889205;2.251765817;415.4609181
334.0308521;9.951298653;0.234170083;Aéreo;Express;No Frágil;11;Individual;14.01603022;2.856606639;335.5902859
297.6974651;3.105988528;0.233005901;Aéreo;Express;Frágil;2;Individual;67.75007205;2.75746753;306.3050056
191.9178487;13.40690349;0.015950585;Marítimo;Express;No Frágil;6;Individual;27.80614899;2.747516177;230.5744738
387.8442422;2.288930612;0.229328626;Aéreo;Normal;No Frágil;4;Empresarial;38.91676789;3.429518275;328.821411
182.2339568;5.554182101;0.312892241;Terrestre;Normal;No Frágil;13;Individual;90.04864858;1.533361026;373.4379951
197.8910394;2.547469316;0.018711959;Terrestre;Normal;No Frágil;13;Empresarial;16.17904941;2.758089756;238.0461996
39.95089514;2.523260102;1.575713472;Marítimo;Normal;Frágil;6;Empresarial;57.95204179;3.195754967;172.5631049
221.3903711;5.911351194;0.519259583;Marítimo;Express;Frágil;9;Empresarial;2.340203791;3.348480365;208.4704835
225.3865961;40.46481866;0.909882847;Marítimo;Normal;No Frágil;17;Individual;28.32358998;2.908611761;374.2252974
291.751975;7.216911535;0.586354038;Aéreo;Normal;No Frágil;4;Individual;39.03413789;3.264460753;269.092869
150.2588638;3.236250446;1.303555419;Aéreo;Express;No Frágil;19;Empresarial;44.43008292;2.580442885;340.2170395
192.1186342;10.44939552;1.754226348;Aéreo;Express;Frágil;3;Individual;35.1314142;3.155763678;200.0715372
423.6546781;8.989608007;0.572207048;Marítimo;Express;Frágil;14;Individual;30.29132742;3.790471961;391.6077905
164.2847011;6.337402891;1.174583099;Marítimo;Express;Frágil;9;Empresarial;30.34445644;3.630847262;224.7695966
180.0008293;3.395994036;0.077797457;Terrestre;Normal;Frágil;2;Individual;25.55837789;3.499135653;157.3518577
166.4098273;5.201337192;1.226643522;Aéreo;Normal;Frágil;9;Empresarial;54.13244794;3.65139643;278.5176256
217.9339675;1.061129591;0.373440691;Aéreo;Normal;Frágil;18;Individual;41.85782117;2.621048213;352.2231049
255.4104751;11.05452835;0.160135341;Aéreo;Normal;Frágil;19;Individual;25.81193458;2.58972944;351.8922838
102.0858527;1.894998996;1.238529558;Aéreo;Normal;No Frágil;4;Individual;9.837493426;3.121675392;111.9692906
285.4499426;2.379711745;0.347235465;Terrestre;Normal;Frágil;19;Empresarial;54.81737423;4.02582571;409.6285642
93.29536485;5.23138652;0.357234893;Aéreo;Express;Frágil;4;Empresarial;41.1239371;3.327330873;194.3289373
184.2199711;11.75379785;0.659981956;Terrestre;Normal;No Frágil;11;Individual;79.86242624;2.613694303;343.9316689
154.539126;5.864398551;0.176372909;Marítimo;Express;No Frágil;2;Empresarial;46.93666436;3.045878777;199.761757
280.0035642;15.01496289;0.110325725;Terrestre;Normal;Frágil;3;Empresarial;19.72230077;3.769990394;237.9153895
241.1959998;7.414076661;0.547192768;Terrestre;Express;Frágil;17;Empresarial;95.12487663;2.259951532;457.9099156
308.667313;1.447777195;0.290830959;Aéreo;Express;No Frágil;4;Empresarial;24.79360183;1.762506345;251.7910598
466.8067017;7.742760951;0.291812256;Terrestre;Normal;Frágil;7;Individual;7.993102462;3.408311983;305.9002963
513.3863325;3.231458187;0.57977854;Marítimo;Normal;Frágil;10;Individual;101.6451006;2.704407665;556.1504634
388.8036512;6.36628323;0.805609013;Aéreo;Normal;No Frágil;2;Empresarial;60.21919058;3.00334794;351.4158062
289.3866517;0.949627689;0.742900668;Terrestre;Express;Frágil;17;Individual;26.82092667;2.928383362;326.1642412
470.0500292;1.167045942;0.088521892;Terrestre;Normal;No Frágil;3;Individual;15.30265207;2.455494634;290.0486818
171.3187035;2.522330623;1.022582787;Terrestre;Express;Frágil;19;Individual;16.20346847;2.578112091;289.7908448
160.0853118;3.463658585;0.193416409;Terrestre;Express;Frágil;2;Individual;25.29511599;2.523199696;158.2375173
258.1759007;4.309021007;1.021361967;Terrestre;Normal;No Frágil;2;Individual;54.37486137;2.201903074;248.1575628
314.317213;10.71763701;0.005936556;Terrestre;Normal;Frágil;11;Individual;27.99708392;2.676504507;307.5513853
351.6272554;6.299033111;0.38524025;Marítimo;Normal;Frágil;16;Individual;70.31919875;3.137584922;467.6318534
218.3991334;4.700479579;0.849004615;Marítimo;Express;Frágil;13;Individual;9.983473564;3.929208453;257.4734189
197.1770193;2.899686383;0.272891271;Marítimo;Express;No Frágil;4;Individual;40.73965842;3.250107673;203.6968338
219.6634101;1.438029374;0.211771209;Terrestre;Express;Frágil;8;Empresarial;30.02652123;3.085087142;220.5638782
297.286585;1.169944839;0.018414542;Terrestre;Normal;Frágil;16;Individual;57.28933883;2.583424895;390.7728439
65.78719754;11.33696478;0.028527833;Terrestre;Normal;No Frágil;1;Individual;26.49483305;3.600889095;105.1116378
173.2264434;2.756955804;1.555121979;Aéreo;Normal;Frágil;13;Empresarial;22.91217188;3.024324198;253.3372312
424.0083535;11.2795305;0.468888855;Marítimo;Normal;Frágil;5;Empresarial;3.843825904;3.722689588;278.2143712
158.7307129;10.94663359;0.440294633;Terrestre;Express;No Frágil;18;Empresarial;56.2605736;4.135318193;344.8991078
155.7636163;1.138027622;0.816985417;Aéreo;Normal;Frágil;6;Individual;69.17653172;3.526511188;274.1090418
153.3365;10.6806938;0.011431777;Terrestre;Express;No Frágil;18;Individual;32.77276747;3.078368264;313.772537
214.5898695;6.11974788;0.283927332;Terrestre;Normal;Frágil;9;Individual;105.1959529;2.657074931;402.630287
508.5225879;6.511755704;0.594922076;Marítimo;Normal;No Frágil;6;Empresarial;36.31559857;2.826837912;383.2974774
269.9193082;11.8251435;0.429279103;Terrestre;Express;Frágil;9;Individual;28.80142408;2.887538319;285.5519973
286.4108386;5.078493641;0.63694627;Terrestre;Normal;Frágil;2;Individual;6.323050762;3.597530586;171.5274792
184.4710932;3.89591586;1.350305723;Marítimo;Express;Frágil;17;Individual;6.434763959;2.58331165;261.4453361
310.470381;0.927985651;0.555476801;Aéreo;Express;Frágil;6;Individual;19.2735316;2.598337403;251.6189287
197.4955197;3.993937362;0.24374468;Marítimo;Normal;No Frágil;2;Individual;29.33072049;2.500373295;180.6261194
278.3708955;2.986479826;0.648260587;Marítimo;Normal;Frágil;7;Individual;42.30308152;4.040524541;287.131216
344.8414797;4.269018329;0.007428801;Marítimo;Normal;No Frágil;12;Empresarial;40.03149482;3.314080628;362.5469982
299.170176;4.544220745;0.22106722;Aéreo;Normal;Frágil;7;Empresarial;91.68155338;3.342162466;414.5641256
240.3839627;7.796544954;0.981276263;Marítimo;Express;Frágil;12;Empresarial;122.1836818;3.258077503;483.7154011
297.811523;9.640106792;0.796523885;Terrestre;Normal;No Frágil;9;Empresarial;6.774148052;2.552029251;247.8431571
143.678991;2.928303312;0.047802535;Aéreo;Normal;Frágil;5;Individual;7.131377921;2.912016367;140.1519473
425.9098047;12.82295116;0.8517673;Terrestre;Express;Frágil;4;Empresarial;51.00453577;3.206785568;359.992652
199.7930516;4.184233139;0.453753519;Aéreo;Normal;No Frágil;4;Individual;16.91079024;3.127656127;182.4912891
262.1371195;9.92299445;0.025143268;Marítimo;Normal;Frágil;6;Individual;68.03140325;3.825488973;340.830628
90.88891852;2.318751665;0.172475845;Terrestre;Normal;No Frágil;12;Individual;22.74241988;2.996592236;187.935168
178.3055905;10.91845418;0.780226179;Terrestre;Normal;Frágil;16;Individual;11.63262846;3.263567267;274.143024
228.1893656;1.522262072;0.141583107;Marítimo;Normal;Frágil;6;Empresarial;19.78008741;3.08274516;225.7835572
516.4389727;4.327138592;0.073028742;Aéreo;Normal;Frágil;15;Empresarial;54.20905059;2.461815775;502.9511958
187.9315967;4.465948539;1.008105015;Terrestre;Express;Frágil;10;Empresarial;10.70838966;3.217516191;204.7871611
236.3933587;19.9074208;1.281933605;Aéreo;Express;Frágil;4;Individual;32.1076342;3.711653086;254.0345296
114.7465536;4.986754223;1.24578508;Marítimo;Normal;Frágil;9;Individual;65.22992369;2.574822213;276.1270342
478.8982638;5.089359156;0.521688305;Terrestre;Normal;No Frágil;19;Individual;56.38212623;2.227574306;524.4306379
105.2306333;2.166012709;0.825718702;Terrestre;Normal;No Frágil;11;Individual;18.59097372;3.088658171;174.551498
94.44744182;4.73165225;0.418569878;Terrestre;Express;Frágil;7;Individual;33.78707125;2.876097612;182.8913513
181.0018661;2.709699624;0.080038033;Marítimo;Express;No Frágil;9;Individual;107.2339199;2.183294554;399.6349225
297.6030759;20.25349119;0.228036357;Aéreo;Express;No Frágil;19;Empresarial;37.97253239;2.797168705;440.2461753
194.4916613;5.001677506;0.156166038;Marítimo;Express;No Frágil;18;Individual;19.07015765;2.947212827;283.114546
123.5186481;5.645922172;0.027846596;Terrestre;Express;No Frágil;2;Empresarial;36.14977453;3.01825868;149.9281753
111.4536398;7.921021545;0.612953382;Marítimo;Normal;Frágil;5;Empresarial;25.61610395;3.417741089;159.7596266
132.3496261;1.52541485;0.088082024;Marítimo;Express;No Frágil;8;Empresarial;22.10363566;2.84222489;183.1027413
98.55241676;13.42689672;0.797517942;Terrestre;Express;No Frágil;8;Individual;71.82609423;2.884854119;281.6027294
177.8781436;9.461015461;0.46718644;Marítimo;Express;No Frágil;9;Empresarial;18.00192061;2.786580731;216.0896093
258.6300174;4.294932962;0.312161334;Marítimo;Normal;Frágil;1;Individual;18.82416709;2.426307591;183.9984966
178.6994501;1.122155851;0.007916281;Marítimo;Normal;Frágil;7;Empresarial;16.68790739;3.523996106;167.4141926
282.8808602;16.64714692;0.071861525;Terrestre;Normal;Frágil;13;Empresarial;13.87462912;2.898122593;296.3842386
177.6397229;1.917634415;1.123625716;Aéreo;Express;No Frágil;14;Empresarial;47.30947272;2.446416109;310.1956498
101.6152147;11.11543189;1.051327806;Terrestre;Express;No Frágil;17;Empresarial;3.073330449;2.886102267;217.4318251
202.9851219;2.595553371;0.278683898;Marítimo;Normal;Frágil;12;Empresarial;59.63753664;2.939974679;320.6098286
185.6050368;5.186007452;0.302809359;Aéreo;Express;Frágil;14;Empresarial;18.4711739;2.236381974;249.9438502
177.4589516;6.588739037;0.71843166;Terrestre;Normal;Frágil;17;Individual;31.44164407;2.941823275;297.2789379
148.8294761;5.098586461;0.429113676;Marítimo;Normal;No Frágil;6;Individual;87.28656334;3.07265142;305.5783482
594.8345183;9.064602923;0.460619687;Marítimo;Normal;No Frágil;9;Individual;54.34236163;4.088748902;509.0361085
165.0686681;1.002110872;0.139589355;Aéreo;Express;Frágil;8;Empresarial;37.46043752;3.323596;238.6097899
300.2883176;9.426971282;0.163885362;Aéreo;Normal;No Frágil;11;Empresarial;39.16390573;2.697901601;348.4381555
437.5832507;0.446983096;0.41969473;Aéreo;Normal;No Frágil;14;Individual;78.34049247;2.996099116;478.2049253
88.71270272;2.145013365;0.205410782;Marítimo;Express;Frágil;5;Individual;8.590160548;3.385333882;134.0655112
206.7716879;1.292471608;0.42797096;Aéreo;Normal;Frágil;14;Individual;46.05069885;2.790944143;312.8527131
193.4122395;2.961922568;0.273795572;Terrestre;Normal;Frágil;3;Empresarial;24.56595996;3.215120509;186.0943887
543.9347067;2.036838547;0.298759487;Terrestre;Express;Frágil;17;Empresarial;20.12002141;3.104725577;454.4875626
419.8120215;7.444949366;0.601086486;Aéreo;Express;Frágil;2;Individual;40.46972541;2.882796503;344.5411897
65.8114841;4.096882227;0.426883463;Terrestre;Express;Frágil;16;Individual;46.17195816;2.107338458;272.0945044
322.3655088;9.137322053;1.382267496;Aéreo;Normal;No Frágil;7;Individual;25.33453163;2.542144331;285.8294864
313.9818517;13.06424948;0.351167539;Terrestre;Normal;Frágil;8;Empresarial;14.55631406;3.343463632;283.5740453
233.3995843;4.976423837;0.303221935;Marítimo;Normal;No Frágil;15;Individual;54.94565595;3.786835832;346.3135865
326.0469437;2.909834962;0.083262763;Terrestre;Express;No Frágil;14;Empresarial;41.01962311;3.258742405;369.8866138
278.1273207;5.987426884;0.083950524;Aéreo;Express;No Frágil;14;Individual;58.65395894;3.489224198;394.7119119
136.7769529;2.218334355;0.113080072;Aéreo;Express;Frágil;8;Empresarial;7.40326408;2.88752219;176.2101811
379.4962911;7.488397426;0.123355382;Terrestre;Normal;No Frágil;12;Individual;45.97200408;3.01053932;381.6448357
365.0298005;5.717300384;2.135385826;Aéreo;Normal;No Frágil;14;Individual;61.79666812;2.735432117;428.011843
427.4666728;2.834506842;0.373249256;Marítimo;Express;Frágil;9;Empresarial;25.82103282;2.914643803;358.224283
286.9125629;4.322347432;0.41814825;Marítimo;Express;Frágil;16;Empresarial;18.44726155;2.629284952;320.5257887
169.0855167;7.841755772;0.362264485;Marítimo;Normal;Frágil;5;Individual;9.059309559;2.821015842;181.4310833
187.2597186;17.86712844;0.715959362;Terrestre;Normal;Frágil;17;Empresarial;43.70576378;2.984423415;336.8994173
410.8677033;6.006809382;0.402932629;Aéreo;Express;Frágil;8;Individual;68.3814355;3.296111975;424.5920597
576.316387;5.13148473;0.600769002;Terrestre;Express;No Frágil;12;Empresarial;21.27139858;3.547115051;436.8920782
371.699975;6.8099885;0.767005833;Terrestre;Normal;No Frágil;18;Empresarial;18.78789319;3.969731524;358.8218315
311.4363207;13.03696926;0.017562676;Terrestre;Normal;Frágil;16;Individual;24.9392862;3.918777456;355.2035945
166.0823607;6.084120027;0.161052363;Aéreo;Normal;Frágil;11;Individual;17.70891268;3.329129732;231.9386783
440.1774648;7.718986008;1.246816011;Terrestre;Normal;No Frágil;6;Empresarial;17.57256834;3.163058165;315.1313512
230.7673609;2.058761211;0.585605464;Marítimo;Normal;No Frágil;1;Empresarial;27.11756783;3.37717778;182.2500829
420.4097144;9.383107172;0.230695696;Aéreo;Normal;No Frágil;19;Empresarial;91.25362364;3.096533506;565.1153636
207.7508504;21.71338062;0.13842028;Marítimo;Express;No Frágil;2;Individual;10.57928631;2.693682676;182.6805502
189.9773658;18.14554817;0.171720908;Terrestre;Normal;No Frágil;19;Individual;14.56572493;2.760209861;325.2646556
262.896609;8.274392589;0.105443956;Terrestre;Express;No Frágil;13;Empresarial;26.88965433;2.490461468;297.8449018
329.9972041;0.571360111;0.057426805;Terrestre;Express;Frágil;5;Individual;75.06606969;3.909970234;368.7991812
443.8456525;1.068440197;0.934396855;Terrestre;Normal;No Frágil;4;Individual;41.10027566;3.253569241;328.0215378
195.0333722;0.664794596;0.406843157;Terrestre;Express;Frágil;17;Empresarial;30.45388295;4.007810007;288.1087953
236.9886715;2.85554774;0.579327034;Terrestre;Normal;Frágil;7;Individual;15.61883414;2.767795797;200.5189563
705.6837623;10.30987646;0.543110912;Marítimo;Express;Frágil;15;Empresarial;13.39766397;3.505839758;513.1092794
321.760314;3.672126772;0.228096848;Terrestre;Express;No Frágil;16;Empresarial;11.16359263;3.590695883;323.0042808
391.3372647;5.445381661;0.42831794;Terrestre;Express;Frágil;14;Individual;9.824672438;2.892675557;335.726292
230.4308296;1.70331529;0.117999062;Marítimo;Normal;Frágil;10;Empresarial;38.33238787;2.823427308;277.5568155
174.4252617;6.103305405;1.463748745;Marítimo;Express;Frágil;12;Empresarial;20.11683744;2.83110197;237.4177054
430.5980687;2.672629433;0.942745388;Terrestre;Express;No Frágil;7;Individual;79.4567382;3.086933737;455.796406
99.15714781;4.097430823;3.227249786;Terrestre;Normal;Frágil;14;Empresarial;62.04419183;3.944551791;296.771779
114.5780218;5.425199966;0.056587128;Aéreo;Normal;No Frágil;14;Individual;5.348865644;2.763883243;200.5594391
249.6719909;7.602636572;0.059558266;Terrestre;Express;Frágil;19;Individual;34.99391154;2.501040339;383.113491
144.8374707;4.577140928;0.896168454;Marítimo;Express;No Frágil;9;Empresarial;27.02960719;3.855319182;211.1368701
130.8193287;1.014428101;0.127784087;Aéreo;Express;No Frágil;5;Individual;56.65747933;2.28815811;239.7447377
343.8476244;1.630139004;0.122785101;Terrestre;Express;Frágil;4;Individual;36.75747901;3.470126704;283.5341713
244.1386362;15.44087613;0.634427273;Marítimo;Normal;No Frágil;10;Empresarial;94.41114499;2.664730774;405.2371301
365.5525709;8.757032461;1.833899801;Marítimo;Normal;No Frágil;17;Empresarial;9.662357368;2.848473654;372.6629015
289.244918;2.941529148;0.174721879;Marítimo;Normal;Frágil;9;Empresarial;6.912810271;2.418582658;243.5979407
369.5601263;6.257650684;0.110074649;Terrestre;Express;No Frágil;5;Empresarial;10.46479529;3.019963258;246.1609014
440.2029637;11.70042246;1.685263517;Terrestre;Express;No Frágil;15;Individual;11.69983527;2.933072146;385.7316125
187.1861884;11.35926029;0.073153063;Terrestre;Normal;Frágil;19;Individual;40.72596322;2.524127657;343.2774655
291.3982732;1.70288562;0.333800401;Aéreo;Express;No Frágil;9;Empresarial;16.93212392;1.783472735;267.351504
235.6474135;15.95097119;0.639194151;Terrestre;Normal;No Frágil;8;Individual;89.49060383;2.758589345;387.4143383
198.1584714;13.1055161;0.297948684;Terrestre;Express;Frágil;18;Empresarial;25.53219998;3.342943627;336.7007808
194.6968016;3.866570715;0.116122517;Aéreo;Normal;No Frágil;1;Empresarial;10.04388969;3.919162985;146.4233312
93.60558528;3.393071074;0.842712116;Marítimo;Express;No Frágil;15;Empresarial;58.36713259;3.370510725;300.4373203
78.75529863;7.331017798;0.188983215;Marítimo;Express;No Frágil;8;Empresarial;36.79176494;3.089001275;191.5541888
199.8515103;8.8123507;0.076478731;Aéreo;Express;Frágil;9;Empresarial;71.65481888;3.543125044;355.8521542
185.2211596;1.08079514;0.123250972;Marítimo;Express;No Frágil;3;Individual;68.26531439;3.15365418;253.026874
